"university_city","professor_count"
"Lausanne","614"
"Saint Gallen","273"
"Bern","162"
"Zurich","140"
"Basel","75"
"Fribourg","40"
"Neuchâtel","36"
"Geneva","33"
"Cambridge","4"
"Lugano","4"
"Stanford","2"
